,citys,latlong,spots,provinces
1937,锦州,"121.124951,41.111560",锦州市博物馆,辽宁
1938,丹东,"124.364826,40.119076",抗美援朝纪念馆,辽宁
1939,锦州,"121.645480,41.513220",大芦花风景区,辽宁
1940,大连,"121.148842,38.789258",大连世界和平公园,辽宁
1941,锦州,"121.133369,41.107095",古塔历史文化公园,辽宁
1942,葫芦岛,"120.858875,40.726427",九门口珍禽观光园,辽宁
1943,营口,"122.289487,40.397358",辽宁团山国家海洋公园,辽宁
1944,大连,"121.939511,39.283751",关向应纪念馆,辽宁
1945,大连,"122.022129,39.079978",蓝梦海岸,辽宁
1946,海西蒙古族藏族自治州,"99.111073,36.698561",茶卡盐湖,青海
1947,西宁,"101.738630,36.627538",青藏高原野生动物园,青海
1948,西宁,"101.274277,36.687374",丹噶尔古城,青海
1949,西宁,"101.588463,36.492423",青海藏文化馆,青海
1950,海东地区,"123.958672,47.330978",彩虹部落土族园,青海
1951,西宁,"101.747867,36.689307",藏医药文化博物馆,青海
1952,西宁,"101.701593,36.932473",老爷山,青海
1953,海北藏族自治州,"100.994430,36.896467",金银滩（原子城）旅游景区,青海
1954,海西蒙古族藏族自治州,"94.903128,36.449295",昆仑文化旅游区,青海
1955,海东地区,"102.374242,36.930373",互助浪士当,青海
1956,海北藏族自治州,"101.622310,37.376150",百里油菜花海,青海
1957,西宁,"101.805965,36.617308",马步芳公馆,青海
1958,海东地区,"102.678200,35.794100",循化撒拉族绿色家园,青海
1959,西宁,"101.755956,36.629877",青海省博物馆,青海
1960,玉树藏族自治州,"97.139578,33.266239",拉布民俗村,青海
1961,张掖,"100.044055,38.966651",张掖七彩丹霞旅游景区,甘肃
1962,武威,"102.638125,37.941876",雷台公园,甘肃
1963,陇南,"105.003401,33.334268",万象洞,甘肃
1964,酒泉,"94.056498,39.935624",敦煌阳关景区,甘肃
1965,张掖,"100.456494,38.931007",张掖大佛寺,甘肃
1966,天水,"105.707031,34.579201",伏羲庙,甘肃
1967,白银,"104.313596,36.892438",黄河石林国家地质公园,甘肃
1968,武威,"102.742019,37.766223",白塔寺遗址,甘肃
1969,兰州,"103.824774,36.036353",五泉山公园,甘肃
1970,兰州,"104.065790,35.792592",兴隆山,甘肃
1971,嘉峪关,"98.276566,39.779826",甘肃中华孔雀苑,甘肃
1972,嘉峪关,"98.350602,39.831235",紫轩葡萄酒庄园,甘肃
1973,张掖,"100.419141,38.483880",马蹄寺,甘肃
1974,甘南,"102.508386,35.193302",拉卜楞寺,甘肃
1975,天水,"105.715958,34.582042",玉泉观,甘肃
1976,兰州,"103.844148,36.063147",水车博览园,甘肃
1977,张掖,"98.263648,39.686719",文殊山石窟,甘肃
1978,平凉,"106.595621,35.258118",田家沟水土保持生态风景区,甘肃
1979,武威,"102.644103,37.923985",文庙,甘肃
1980,天水,"105.315569,34.731267",大象山,甘肃
1981,张掖,"99.763970,38.705071",张掖冰沟丹霞旅游景区,甘肃
1982,平凉,"107.352032,35.335627",王母宫,甘肃
1983,嘉峪关,"98.176491,39.866942",嘉峪关悬壁长城四季滑雪场,甘肃
1984,陇南,"104.395178,34.011899",官鹅沟国家森林公园,甘肃
1985,平凉,"106.244305,35.200068",云崖寺,甘肃
1986,定西,"104.247319,34.770495",遮阳山,甘肃
1987,张掖,"100.452569,38.978136",张掖国家湿地公园,甘肃
1988,庆阳,"107.899890,36.006132",周祖陵森林公园,甘肃
1989,兰州,"102.642453,36.706402",吐鲁沟国家森林公园,甘肃
1990,临夏,"103.714884,35.363589",临夏莲花山,甘肃
1991,平凉,"107.620008,35.069335",古灵台荆山森林公园,甘肃
1992,平凉,"107.037530,35.313403",龙泉寺,甘肃
1993,甘南,"104.041615,33.824303",大峪沟,甘肃
1994,甘南,"103.610060,34.933285",冶力关,甘肃
1995,陇南,"105.732320,33.027824",阳坝梅园沟,甘肃
1996,天水,"105.748921,34.564556",南郭寺,甘肃
1997,平凉,"106.591860,35.366870",莲花台—玄凤山风景区,甘肃
1998,天水,"104.952430,34.831149",水帘洞,甘肃
1999,嘉峪关,"98.289105,39.766119",东湖水生态旅游景区,甘肃
2000,武威,"102.882438,37.886662",神州荒漠野生动物园,甘肃
2001,酒泉,"98.533416,39.750587",酒泉公园,甘肃
2002,张掖,"99.916104,38.962825",裕固风情走廊景区,甘肃
2003,张掖,"100.449818,38.925875",张掖祁连山国际滑雪场,甘肃
2004,武威,"102.861530,37.849731",沙漠公园,甘肃
2005,陇南,"105.767164,32.998697",阳坝自然风景区,甘肃
2006,武威,"102.638140,37.939423",武威市雷台汉文化博物馆,甘肃
2007,临夏,"103.313731,35.935942",黄河三峡,甘肃
2008,酒泉,"98.524688,39.744308",清真寺,甘肃
2009,西安,"108.955038,34.224221",陕西历史博物馆,陕西
2010,西安,"108.963628,34.292330",大明宫国家遗址公园,陕西
2011,西安,"108.853416,34.057262",秦岭野生动物园,陕西
2012,安康,"108.890808,32.603592",瀛湖,陕西
2013,西安,"108.948302,34.251854",西安城墙,陕西
2014,西安,"108.979453,34.215151",曲江海洋极地公园,陕西
2015,咸阳,"108.952836,34.439020",汉阳陵博物馆,陕西
2016,渭南,"109.833840,34.488087",少华山国家森林公园,陕西
2017,西安,"109.051174,34.273251",西安半坡博物馆,陕西
2018,西安,"108.657870,33.917289",太平国家森林公园,陕西
2019,咸阳,"108.219684,34.568772",乾陵,陕西
2020,西安,"108.753944,34.197113",沣东农博园,陕西
2021,汉中,"106.292580,33.592771",紫柏山国家森林公园,陕西
2022,延安,"109.497344,36.593451",宝塔山,陕西
2023,汉中,"106.963707,33.214923",石门栈道风景区,陕西
2024,咸阳,"108.586448,34.338518",茂陵博物馆,陕西
2025,西安,"108.945855,34.294431",金龙峡,陕西
2026,汉中,"106.652688,33.123439",汉中武侯墓风景区,陕西
2027,咸阳,"108.074579,34.266617",西北农林科技大学博览园,陕西
2028,商洛,"109.040574,33.303417",塔云山,陕西
2029,西安,"109.061304,34.323164",西安世博园,陕西
2030,安康,"109.018103,32.220096",南宫山,陕西
2031,西安,"108.581338,33.783420",朱雀国家森林公园,陕西
2032,西安,"108.974166,34.027159",西安关中民俗艺术博物院,陕西
2033,汉中,"106.620532,33.147115",汉中武侯祠,陕西
2034,汉中,"107.763096,32.990640",华阳古镇,陕西
2035,渭南,"110.347724,35.142961",处女泉景区,陕西
2036,延安,"109.421469,36.627884",枣园革命旧址,陕西
2037,渭南,"110.328283,35.145443",合阳洽川风景名胜区,陕西
2038,延安,"108.939059,35.574110",陕西黄陵国家森林公园,陕西
2039,安康,"108.154169,32.795275",汉江燕翔洞生态旅游景区,陕西
2040,渭南,"109.180312,34.770182",富平陶艺村,陕西
2041,延安,"109.477978,36.608907",延安革命纪念馆,陕西
2042,铜川,"108.999862,34.909376",铜川药王山,陕西
2043,商洛,"110.197659,33.724403",商於古道棣花古镇文化旅游景区,陕西
2044,榆林,"110.497852,38.004192",白云山,陕西
2045,渭南,"110.441386,35.459857",韩城市博物馆,陕西
2046,铜川,"108.640221,35.054639",照金香山,陕西
2047,宝鸡,"107.604863,34.493977",宝鸡周公庙,陕西
2048,商洛,"110.207687,34.327001",老君山（陕西）,陕西
2049,宝鸡,"107.747856,34.105294",宝鸡红河谷,陕西
2050,宝鸡,"107.232166,34.025982",关山草原,陕西
2051,商洛,"110.324583,33.691493",丹江漂流,陕西
2052,榆林,"109.944934,39.087660",红碱淖风景区,陕西
2053,西安,"108.909032,34.245665",西安大唐西市文化景区,陕西
2054,西安,"109.511109,34.110017",王顺山,陕西
2055,咸阳,"108.379695,34.314027",马嵬驿,陕西
2056,宝鸡,"107.788902,34.677028",碑亭景区,陕西
2057,宝鸡,"106.661770,35.031448",宝鸡龙门洞,陕西
2058,包头,"110.314227,40.792140",五当召,内蒙古
2059,鄂尔多斯,"109.890679,39.838973",鄂尔多斯野生动物园（海洋馆）,内蒙古
2060,阿拉善盟,"104.945893,37.595742",阿拉善通湖草原,内蒙古
2061,赤峰,"119.073462,43.130635",玉龙沙湖,内蒙古
2062,鄂尔多斯,"108.628006,39.812228",鄂尔多斯草原旅游区,内蒙古
2063,呼伦贝尔,"119.720015,49.250633",世界反法西斯战争海拉尔纪念园,内蒙古
2064,包头,"110.711104,40.603813",美岱召,内蒙古
2065,鄂尔多斯,"109.781327,39.608266",鄂尔多斯康巴什旅游区,内蒙古
2066,阿拉善盟,"105.846789,38.450131",贺兰山福因寺（北寺旅游景区）,内蒙古
2067,阿拉善盟,"105.158714,38.460902",腾格里沙漠月亮湖,内蒙古
2068,鄂尔多斯,"107.447796,38.156463",大沙头生态文化区,内蒙古
2069,鄂尔多斯,"106.671239,38.380827",马兰花草原,内蒙古
2070,呼伦贝尔,"123.726201,50.591842",鄂伦春布苏里景区,内蒙古
2071,锡林郭勒盟,"116.072631,43.949247",贝子庙,内蒙古
2072,阿拉善盟,"105.846789,38.450131",贺兰山广宗寺（南寺）,内蒙古
2073,呼和浩特,"111.221880,40.182318",神泉生态旅游景区,内蒙古
2074,鄂尔多斯,"109.441142,39.571754",苏泊罕大草原,内蒙古
2075,赤峰,"118.507471,41.840019",喀喇沁亲王府,内蒙古
2076,呼和浩特,"111.455967,40.749238",伊利乳都科技示范园,内蒙古
2077,呼伦贝尔,"121.593075,50.811145",根河源国家湿地公园,内蒙古
2078,鄂尔多斯,"109.777773,39.793673",九城宫旅游景区,内蒙古
2079,锡林郭勒盟,"116.671899,42.135910",多伦湖景区,内蒙古
2080,鄂尔多斯,"109.785300,39.601214",鄂尔多斯博物馆,内蒙古
2081,呼伦贝尔,"119.324982,49.156685",呼和诺尔草原,内蒙古
2082,通辽,"122.203968,42.762492",大青沟,内蒙古
2083,呼伦贝尔,"119.467968,49.291492",巴尔虎部落,内蒙古
2084,鄂尔多斯,"108.784437,37.978016",萨拉乌苏旅游区,内蒙古
2085,呼伦贝尔,"117.676048,49.498923",猛犸象公园,内蒙古
2086,呼伦贝尔,"122.735269,48.020468",扎兰屯吊桥公园,内蒙古
2087,赤峰,"116.666742,43.293019",达里诺尔湖,内蒙古
2088,呼伦贝尔,"119.324982,49.156685",呼和诺尔景区,内蒙古
2089,鄂尔多斯,"110.054566,40.336764",释尼召沙漠绿海乐园,内蒙古
2090,呼和浩特,"111.788856,40.476380",蒙牛乳业工业园区,内蒙古
2091,鄂尔多斯,"109.439696,40.393099",恩格贝旅游区,内蒙古
2092,呼伦贝尔,"119.324982,49.156685",呼和诺尔湖,内蒙古
2093,巴彦淖尔,"109.264418,40.639707",维信国际高尔夫度假村,内蒙古
2094,鄂尔多斯,"109.781327,39.608266",鄂尔多斯文化旅游村,内蒙古
2095,三亚,"109.630011,18.254739",亚龙湾热带天堂森林公园,海南
2096,三亚,"109.506279,18.221068",鹿回头风景区,海南
2097,海口,"110.354616,19.921543",海口观澜湖华谊冯小刚电影公社,海南
2098,海口,"110.219103,19.925701",火山口公园,海南
2099,海口,"110.246216,19.770256",海南热带野生动植物园,海南
2100,陵水,"109.987621,18.396818",南湾猴岛,海南
2101,三亚,"109.629181,18.242676",亚龙湾,海南
2102,三亚,"109.522744,18.226215",大东海,海南
2103,万宁,"110.197680,18.735504",兴隆热带植物园,海南
2104,海口,"110.294392,19.981905",石山火山群国家地质公园,海南
2105,琼海,"110.560569,19.132554",博鳌亚洲论坛永久会址,海南
2106,澄迈,"110.003638,19.893034",富力红树湾湿地公园,海南
2107,定安,"110.365616,19.552673",文笔峰,海南
2108,万宁,"110.434392,18.800718",东山岭,海南
2109,海口,"110.237132,20.036765",假日海滩,海南
2110,陵水,"109.972626,18.397578",南波湾海洋生态乐园,海南
2111,三亚,"109.366071,18.225515",牛王岭,海南
2112,海口,"110.241467,20.033773",印象海南岛,海南
2113,海口,"110.350550,19.918138",热带海洋世界,海南
2114,北京,"116.308522,40.003025",圆明园,北京
2115,北京,"116.385307,39.941853",什刹海,北京
2116,北京,"116.339892,39.941344",北京动物园,北京
2117,北京,"116.489201,39.865649",北京欢乐谷,北京
2118,北京,"116.189141,39.990246",香山公园,北京
2119,北京,"116.388767,39.928265",北海公园,北京
2120,北京,"116.396776,39.925847",景山公园,北京
2121,北京,"116.073160,40.291139",居庸关长城,北京
2122,北京,"116.668702,40.392560",雁栖湖旅游区,北京
2123,北京,"116.981159,40.273089",丫髻山,北京
2124,北京,"116.307171,39.919505",中央电视塔,北京
2125,北京,"116.335585,39.496227",北京野生动物园,北京
2126,北京,"116.340948,39.944665",北京海洋馆,北京
2127,北京,"116.287991,39.810377",世界公园,北京
2128,北京,"116.230529,39.865650",水关长城,北京
2129,北京,"116.029617,39.906022",潭柘寺,北京
2130,北京,"116.182769,39.962236",八大处公园,北京
2131,北京,"116.624490,40.375089",红螺寺,北京
2132,北京,"116.352038,39.836168",世界花卉大观园,北京
2133,北京,"116.446951,39.928298",富国海底世界,北京
2134,北京,"117.192660,40.640593",司马台长城,北京
2135,北京,"115.937750,39.688500",周口店北京猿人遗址,北京
2136,北京,"116.394393,39.970486",中国科学技术馆,北京
2137,北京,"116.413261,39.946787",国子监,北京
2138,北京,"116.397386,40.005589",中国科技馆,北京
2139,北京,"116.427860,39.901196",北京明城墙遗址公园,北京
2140,北京,"117.337912,40.190026",金海湖风景区,北京
2141,北京,"116.561783,39.787941",京东石林峡,北京
2142,北京,"116.678619,40.459472",怀柔青龙峡,北京
2143,北京,"116.526121,39.910632",中国紫檀博物馆,北京
2144,北京,"116.366109,40.185666",中国航空博物馆,北京
2145,北京,"116.131255,39.872914",北宫国家森林公园,北京
2146,北京,"116.226754,39.851606",中国人民抗日战争纪念馆,北京
2147,北京,"116.842353,40.373251",密云黑龙潭,北京
2148,北京,"116.394549,39.910365",中山公园,北京
2149,北京,"116.381973,39.874476",陶然亭公园,北京
2150,北京,"116.805450,40.549447",桃源仙谷,北京
2151,北京,"116.327877,40.319686",银山塔林,北京
2152,北京,"116.319408,39.942263",紫竹院公园,北京
2153,北京,"117.143057,40.066381",青龙山,北京
2154,北京,"115.599737,39.638262",十渡风景区,北京
2155,北京,"116.209714,40.001403",北京植物园,北京
2156,北京,"116.482534,39.944304",朝阳公园,北京
2157,北京,"115.594619,39.646447",十渡东湖港,北京
2158,北京,"116.323190,39.917189",玉渊潭公园,北京
2159,北京,"116.400577,40.181137",龙脉温泉,北京
2160,北京,"116.796591,40.181584",北京国际鲜花港,北京
2161,北京,"116.208596,39.912045",石景山游乐园,北京
2162,北京,"116.153315,39.806102",南宫温泉水世界,北京
2163,北京,"116.900855,40.376438",张裕爱斐堡,北京
2164,北京,"116.322195,40.685372",百里山水画廊,北京
2165,北京,"115.946421,39.795952",石花洞国家地质公园,北京
2166,北京,"116.113104,40.079308",凤凰岭,北京
2167,北京,"116.375540,40.112563",温都水城,北京
2168,北京,"115.774054,39.609223",云居寺,北京
2169,北京,"116.087166,39.869866",戒台寺,北京
2170,北京,"116.152092,39.794672",南宫旅游景区,北京
2171,北京,"116.551656,40.015816",蟹岛绿色生态度假村,北京
2172,北京,"115.699617,39.841507",圣莲山,北京
2173,北京,"116.342120,39.906481",首都博物馆,北京
2174,北京,"116.401401,39.899839",北京规划展览馆,北京
2175,北京,"116.442904,39.881343",龙潭湖公园,北京
2176,北京,"117.147147,40.078817",渔阳滑雪场,北京
2177,北京,"116.690213,40.182488",奥林匹克水上公园,北京
2178,北京,"117.168530,40.245166",京东大峡谷,北京
2179,北京,"116.590240,40.062430",九龙游乐园,北京
2180,北京,"115.645935,39.623234",五渡仙峰谷,北京
2181,北京,"116.434334,40.156894",小汤山现代农业科技示范园,北京
2182,北京,"115.674175,39.960339",斋堂水库,北京
2183,北京,"116.787061,40.596183",精灵山庄,北京
2184,北京,"116.382144,40.099181",天龙源温泉,北京
2185,北京,"115.608626,39.644176",七渡花果山景区,北京
2186,天津,"117.476594,39.187049",天津欢乐谷,天津
2187,天津,"117.181802,39.092529",天塔湖,天津
2188,天津,"117.662151,39.008579",天津海昌极地海洋公园,天津
2189,天津,"117.186310,39.154161",天津之眼摩天轮,天津
2190,天津,"117.808217,39.156337",天津泰达航母主题公园,天津
2191,天津,"117.202131,39.116753",五大道,天津
2192,天津,"117.402880,40.045326",独乐寺,天津
2193,天津,"117.189530,39.155347",大悲禅院,天津
2194,天津,"117.167804,39.088969",天津水上公园,天津
2195,天津,"117.010682,39.134936",石家大院,天津
2196,天津,"117.134649,39.028680",精武门·中华武林园,天津
2197,天津,"117.445079,40.241899",天津蓟州黄崖关长城景区,天津
2198,天津,"117.436212,38.927664",天山海世界米立方,天津
2199,天津,"117.094703,39.137831",天津热带植物观光园,天津
2200,天津,"117.461747,39.018718",宝成博物苑,天津
2201,天津,"117.173010,38.895576",光合谷旅游度假区,天津
2202,天津,"117.153230,38.903156",团泊风景区,天津
2203,天津,"117.537743,40.195908",梨木台,天津
2204,天津,"116.973943,39.155336",杨柳青庄园,天津
2205,天津,"116.937950,39.086788",水高庄园,天津
2206,天津,"117.129596,39.338335",天津武清绿博园,天津
2207,天津,"117.633342,39.292860",渤海湾七里海生态园,天津
2208,天津,"117.200983,39.084158",​天津东疆湾沙滩景区,天津
2209,天津,"117.673836,39.306770",七里海,天津
2210,重庆,"106.582859,29.557941",重庆长江索道,重庆
2211,重庆,"105.647863,29.488172",湖广会馆,重庆
2212,重庆,"106.579297,29.562060",洪崖洞,重庆
2213,重庆,"108.774068,29.304167",磁器口古镇,重庆
2214,重庆,"107.730895,29.863500",丰都鬼城,重庆
2215,重庆,"109.573111,31.046319",白帝城,重庆
2216,重庆,"109.463987,31.018498",重庆奉节天坑地缝景区,重庆
2217,重庆,"106.550912,29.678873",重庆园博园,重庆
2218,重庆,"108.815967,29.506134",芭拉胡景区,重庆
2219,重庆,"106.627802,29.555423",南山植物园,重庆
2220,重庆,"106.505736,29.504051",重庆动物园,重庆
2221,重庆,"108.128504,29.317191",蚩尤九黎城,重庆
2222,重庆,"106.551556,29.563009",重庆白鹤梁水下博物馆,重庆
2223,重庆,"106.553841,29.561555",重庆市人民大礼堂,重庆
2224,重庆,"108.705132,30.910259",张飞庙,重庆
2225,重庆,"105.907158,29.289048",乐和乐都野生动物世界,重庆
2226,重庆,"105.925946,29.413185",茶山竹海,重庆
2227,重庆,"106.364026,29.449541",贝迪颐园温泉旅游度假区,重庆
2228,重庆,"105.804671,30.182222",龚滩古镇,重庆
2229,重庆,"106.920431,28.841401",龙鳞石海,重庆
2230,重庆,"106.046490,29.795136",黄桷门奇彩梦园,重庆
2231,重庆,"108.252435,30.653262",万州大瀑布群景区,重庆
2232,重庆,"106.835636,29.859194",统景温泉,重庆
2233,重庆,"106.628581,30.031173",金刀峡,重庆
2234,重庆,"106.499191,29.553953",红岩革命纪念馆,重庆
2235,重庆,"106.550474,29.561973",中国三峡博物馆,重庆
2236,重庆,"106.857391,29.456412",东温泉镇,重庆
2237,重庆,"106.525078,29.559314",金源方特科幻公园,重庆
2238,重庆,"107.796518,29.782710",雪玉洞,重庆
2239,重庆,"106.454464,29.490940",华岩旅游风景区,重庆
2240,重庆,"105.907158,29.289048",永川野生动物园,重庆
2241,重庆,"107.579208,29.489986",武陵山大裂谷,重庆
2242,重庆,"106.280177,29.501473",海兰云天温泉度假区,重庆
2243,重庆,"106.295734,29.492071",上邦璞石温泉,重庆
2244,重庆,"108.359459,30.181548",大风堡原始森林,重庆
2245,重庆,"105.929462,29.353180",重庆人民广场,重庆
2246,重庆,"106.265690,29.996386",钓鱼城,重庆
2247,重庆,"105.746664,29.536494",石宝寨,重庆
2248,重庆,"106.613914,29.555613",重庆海昌加勒比海水世界,重庆
2249,重庆,"108.696574,30.928610",神女峰,重庆
2250,重庆,"108.425810,31.075138",刘伯承故居,重庆
2251,重庆,"108.774068,29.304167",龙潭古镇,重庆
2252,重庆,"106.532297,29.577153",观音桥商圈都市旅游区,重庆
2253,重庆,"106.494263,30.173772",涞滩古镇,重庆
2254,重庆,"106.577749,29.571003",重庆科技馆,重庆
2255,重庆,"108.710387,30.934374",三峡梯城,重庆
2256,重庆,"106.419175,29.569997",歌乐山,重庆
2257,重庆,"106.442720,29.482248",龙门阵魔幻山,重庆
2258,重庆,"105.810102,30.186242",重庆潼南大佛寺,重庆
2259,重庆,"107.043495,29.866858",菩提山,重庆
2260,重庆,"109.082710,31.542247",重庆市红池坝国家森林公园,重庆
2261,重庆,"108.724311,29.635020",黔江小南海,重庆
2262,重庆,"107.066299,29.857520",长寿菩提古镇,重庆
2263,重庆,"106.389729,29.807286",缙云山,重庆
2264,重庆,"106.416046,29.857099",北温泉公园,重庆
2265,重庆,"106.219691,29.582800",重庆规划展览馆,重庆
2266,重庆,"106.260634,29.275109",聂荣臻元帅陈列馆,重庆
2267,重庆,"106.771949,29.401221",中泰天心佛文化旅游区,重庆
2268,重庆,"107.869100,29.203322",芙蓉江,重庆
2269,重庆,"109.671862,31.623224",大宁河风景区,重庆
2270,重庆,"107.054366,28.995259",神龙峡,重庆
2271,重庆,"106.463434,29.770965",重庆颐尚温泉,重庆
2272,上海,"121.473516,31.234896",上海杜莎夫人蜡像馆,上海
2273,上海,"121.507061,31.234424",环球金融中心观光厅,上海
2274,上海,"121.507061,31.234424",金茂大厦88层观光厅,上海
2275,上海,"121.501957,31.240765",上海海洋水族馆,上海
2276,上海,"121.312775,31.010147",上海影视乐园,上海
2277,上海,"121.217530,31.094173",上海欢乐谷,上海
2278,上海,"121.437972,31.186286",上海博物馆,上海
2279,上海,"121.362719,31.192878",上海动物园,上海
2280,上海,"121.054756,31.111985",朱家角古镇,上海
2281,上海,"121.397027,31.225171",上海长风海洋世界,上海
2282,上海,"121.201568,31.087830",佘山国家旅游度假区,上海
2283,上海,"121.552556,31.215723",上海世纪公园,上海
2284,上海,"121.016385,30.886828",枫泾古镇,上海
2285,上海,"120.910254,31.073401",上海大观园,上海
2286,上海,"121.919575,30.896095",中国航海博物馆,上海
2287,上海,"121.308554,31.292458",南翔老街,上海
2288,上海,"121.475759,31.231750",上海城市规划展示馆,上海
2289,上海,"121.323162,31.296012",南翔古镇,上海
2290,上海,"121.408605,31.139478",锦江乐园,上海
2291,上海,"121.166017,30.894136",东林寺,上海
2292,上海,"121.246506,31.004358",方塔园,上海
2293,上海,"121.548888,31.074651",召稼楼,上海
2294,上海,"121.481662,31.676400",东平国家森林公园,上海
2295,上海,"121.567409,30.857286",上海海湾国家森林公园,上海
2296,上海,"121.471876,31.343666",上海玻璃博物馆,上海
2297,上海,"121.235192,31.725356",崇明西沙湿地公园,上海
2298,上海,"121.399507,31.225077",长风公园,上海
2299,上海,"121.323103,31.294978",古猗园,上海
2300,上海,"121.350561,30.709258",金山城市沙滩,上海
2301,上海,"121.010601,31.103221",东方绿舟,上海
2302,上海,"121.353067,31.437086",闻道园,上海
2303,上海,"121.901793,30.946509",鲜花港,上海
2304,上海,"121.510876,31.724015",前卫生态村,上海
2305,上海,"121.590404,30.864802",都市菜园,上海
2306,上海,"121.225018,31.337975",上海国际赛车场,上海
2307,上海,"121.770386,31.212204",三甲港海滨乐园,上海
2308,上海,"121.044458,31.007329",陈云故居,上海
2309,上海,"121.196753,31.094534",佘山国家森林公园,上海
2310,上海,"121.090807,31.034388",太阳岛国际旅游度假区,上海
2311,上海,"121.249854,31.384490",嘉定州桥景区,上海
2312,上海,"121.308250,31.385462",上海马陆葡萄艺术村,上海
2313,上海,"121.436675,31.190694",徐家汇源景区,上海
2314,上海,"121.558558,31.270597",上海国际时尚中心,上海
2315,上海,"121.551984,31.318892",共青森林公园,上海
2316,衡阳,"112.616139,26.910846",石鼓书院,湖南
2317,娄底,"111.458444,27.705445",冷水江波月洞,湖南
2318,怀化,"109.714731,26.135634",芋头古侗寨,湖南
2319,长沙,"112.139622,28.214831",千佛洞,湖南
2320,长沙,"112.976030,28.189375",柏乐园,湖南
2321,湘西,"109.475112,27.928992",南方长城,湖南
2322,永州,"111.048379,26.397829",舜皇山,湖南
2323,郴州,"112.867608,26.078612",板梁古村,湖南
2324,株洲,"113.569099,27.215158",株洲酒埠江仙人桥旅游区,湖南
2325,岳阳,"113.526161,29.343779",6501风景区,湖南
2326,岳阳,"113.820729,28.969564",五尖山国家森林公园,湖南
2327,怀化,"110.292605,28.523776",二酉山,湖南
2328,常德,"112.107270,28.883582",西洞庭湖,湖南
2329,长沙,"111.970387,28.177357",沩山密印寺,湖南
2330,怀化,"110.017171,26.950023",高椅古村,湖南
2331,长沙,"112.995074,28.145262",长沙生态园林园,湖南
2332,长沙,"112.023246,28.193727",沩山漂流,湖南
2333,岳阳,"113.593415,28.689289",岳阳平江连云山,湖南
2334,怀化,"109.720877,27.449093",受降纪念馆,湖南
2335,娄底,"112.202418,27.456847",蔡和森纪念馆,湖南
2336,益阳,"112.350627,28.707242",皇家湖生态旅游度假区,湖南
2337,怀化,"110.589483,27.905340",向警予纪念馆,湖南
2338,永州,"111.347868,25.273267",江永女书园,湖南
2339,长沙,"113.931238,28.045026",秋收起义文家市会师纪念馆,湖南
2340,郴州,"113.948063,26.071865",三台山公园,湖南
2341,永州,"111.564958,26.649802",李家大院,湖南
2342,郴州,"112.828199,26.113826",悦来温泉,湖南
2343,永州,"111.613445,26.420394",永州金洞,湖南
2344,常德,"111.533653,28.702404",花岩溪,湖南
2345,永州,"111.608206,26.216911",柳子庙,湖南
2346,株洲,"113.587394,27.210615",酒埠江旅游区,湖南
2347,邵阳,"110.137604,26.170254",城步南山牧场,湖南
2348,株洲,"113.566295,26.796543",工农兵政府旧址,湖南
2349,怀化,"110.333739,27.774956",凤凰山,湖南
2350,怀化,"110.411161,28.457729",凤滩水力发电厂,湖南
2351,邵阳,"110.089998,26.183462",南山风景名胜区,湖南
2352,永州,"111.911704,26.625621",阳明山,湖南
2353,怀化,"109.939007,27.423039",荆坪古文化村,湖南
2354,岳阳,"113.598603,28.693174",平江起义纪念馆,湖南
2355,衡阳,"112.857717,26.403840",蔡伦纪念馆,湖南
2356,衡阳,"112.613823,26.886932",回雁峰,湖南
2357,怀化,"109.724706,26.104120",皇都侗文化村,湖南
2358,永州,"111.940666,25.591020",宁远县文庙,湖南
2359,益阳,"112.273004,28.588919",花乡农家乐旅游区,湖南
2360,长沙,"113.584924,28.208541",道吾山,湖南
2361,湘潭,"112.944049,27.829738",湘潭农博园,湖南
2362,长沙,"113.039403,28.317831",汉回民俗文化景区,湖南
2363,湘潭,"112.216461,27.683228",湖南水府旅游区,湖南
2364,郴州,"112.494952,25.363164",阳山古村,湖南
2365,怀化,"109.719533,26.555883",靖州文峰塔,湖南
2366,常德,"111.598260,29.042590",河洑快乐谷,湖南
2367,永州,"112.125243,25.816078",龙家大院,湖南
2368,长沙,"112.982012,28.179995",回龙山旅游区,湖南
2369,株洲,"113.157407,27.832216",芦淞服饰城购物旅游区,湖南
2370,长沙,"113.878509,28.399196",象形风景区,湖南
2371,永州,"112.143954,26.213866",金洞金沙滩,湖南
2372,张家界,"110.491706,29.132293",军声画院,湖南
2373,郴州,"113.260020,26.038778",流华湾,湖南
2374,怀化,"109.804824,27.865892",滕代远纪念馆,湖南
2375,湘潭,"112.525201,27.797341",陈赓故居,湖南
2376,武汉,"114.379667,30.573834",东湖海洋世界,湖北
2377,荆州,"112.215409,30.347034",张居正故居,湖北
2378,襄阳,"112.077787,31.970906",黄家湾风景区,湖北
2379,襄阳,"112.144315,32.029542",米公祠,湖北
2380,神农架,"110.388901,31.470730",香溪源,湖北
2381,襄阳,"112.768705,32.020779",无量台风景区,湖北
2382,武汉,"114.367348,31.205155",木兰古门,湖北
2383,咸宁,"113.874928,29.628403",玄素洞景区,湖北
2384,宜昌,"111.346546,30.884272",情人泉,湖北
2385,黄冈,"115.473905,30.211057",湖北鄂人谷生态旅游度假村,湖北
2386,荆州,"112.184070,30.347712",荆州关羽祠,湖北
2387,荆州,"112.197862,30.349411",荆州关帝庙,湖北
